customer_id,name,email,region,signup_date
CUST000001,Customer 1,customer1@example.com,NA,2024-04-24
CUST000002,Customer 2,customer2@example.com,EU,2024-10-08
CUST000003,Customer 3,customer3@example.com,EU,2024-08-16
CUST000004,Customer 4,customer4@example.com,MEA,2024-04-14
CUST000005,Customer 5,customer5@example.com,MEA,2024-03-30
CUST000006,Customer 6,customer6@example.com,NA,2025-03-08
CUST000007,Customer 7,customer7@example.com,NA,2024-01-31
CUST000008,Customer 8,customer8@example.com,EU,2024-08-11
CUST000009,Customer 9,customer9@example.com,MEA,2025-06-01
CUST000010,Customer 10,customer10@example.com,MEA,2024-01-28
CUST000011,Customer 11,customer11@example.com,MEA,2024-07-22
CUST000012,Customer 12,customer12@example.com,EU,2025-03-05
CUST000013,Customer 13,customer13@example.com,MEA,2025-04-04
CUST000014,Customer 14,customer14@example.com,NA,2024-10-11
CUST000015,Customer 15,customer15@example.com,LATAM,2024-06-12
CUST000016,Customer 16,customer16@example.com,APAC,2024-12-14
CUST000017,Customer 17,customer17@example.com,EU,2024-06-08
CUST000018,Customer 18,customer18@example.com,NA,2024-12-10
CUST000019,Customer 19,customer19@example.com,LATAM,2024-04-04
CUST000020,Customer 20,customer20@example.com,APAC,2024-04-09
CUST000021,Customer 21,customer21@example.com,MEA,2024-12-18
CUST000022,Customer 22,customer22@example.com,NA,2024-09-27
CUST000023,Customer 23,customer23@example.com,MEA,2025-04-15
CUST000024,Customer 24,customer24@example.com,LATAM,2024-05-07
CUST000025,Customer 25,customer25@example.com,MEA,2024-03-21
CUST000026,Customer 26,customer26@example.com,MEA,2024-10-27
CUST000027,Customer 27,customer27@example.com,MEA,2025-01-05
CUST000028,Customer 28,customer28@example.com,NA,2024-07-15
CUST000029,Customer 29,customer29@example.com,EU,2024-02-16
CUST000030,Customer 30,customer30@example.com,NA,2024-10-23
CUST000031,Customer 31,customer31@example.com,NA,2024-08-26
CUST000032,Customer 32,customer32@example.com,APAC,2025-01-24
CUST000033,Customer 33,customer33@example.com,APAC,2025-04-09
CUST000034,Customer 34,customer34@example.com,APAC,2024-06-15
CUST000035,Customer 35,customer35@example.com,EU,2024-12-29
CUST000036,Customer 36,customer36@example.com,NA,2024-09-30
